acquisitiondate,boro,zipcode,address,eapply,location,acres,typecategory,retired
1948 Aug 19 12:00:00 AM,Manhattan,10017,"741 1 AVENUE, New York, NY",Ralph Bunche Park,"1 Ave., bet. E. 42 St. and E. 43 St.",0.21100000000000002,Triangle/Plaza,FALSE
1948 Aug 19 12:00:00 AM,Manhattan,10017,"725 1 AVENUE, New York, NY",Trygve Lie Plaza,"1 Ave., bet. E. 41 St. and E. 42 St.",0.095,Triangle/Plaza,FALSE
1924 Apr 03 12:00:00 AM,Manhattan,10014,"273 6 AVENUE, New York, NY",Downing Street Playground,"Downing St to Carmine St, Av Of Americas",0.223,Playground,FALSE
2002 Nov 20 12:00:00 AM,Manhattan,10039,"NA, New York, NY",Bradhurst Gardens Association,W. 152 St. and Fredrick Douglas Blvd.,0.046,Garden,FALSE
2010 Jan 21 12:00:00 AM,Manhattan,"10024, 10027","NA, New York, NY",West Harlem Piers,Henry Hudson Pkwy. bet. St Clair Pl. and W. 135 St.,4.712,Waterfront Facility,FALSE
1907 Sep 20 12:00:00 AM,Manhattan,10002,"166 MARKET STREET, New York, NY",Coleman Playground,"Cherry St, Pike St, Monroe St",2.61,Playground,FALSE
1945 Dec 13 12:00:00 AM,Manhattan,10012,"NA, New York, NY",Minetta Triangle,N/e Corner Ave. of Americas and Minetta St.,0.07500000000000001,Triangle/Plaza,FALSE
2002 Nov 20 12:00:00 AM,Manhattan,10039,"NA, New York, NY",Bradhurst Ave Garden,Bradhurst Ave. and W. 152 St.,0.09,Garden,FALSE
1999 Jul 12 12:00:00 AM,Manhattan,10009,"NA, New York, NY",The Creative Little Garden,"E. 6 St., bet. Ave. A and Ave. B",0.063,Garden,FALSE
1999 Jul 12 12:00:00 AM,Manhattan,10009,"NA, New York, NY",5th St Slope Garden,E. 5 St. at Ave. C,0.096,Garden,FALSE
NA,Manhattan,"10021, 10028, 10065, 10075","NA, New York, NY",East River Walk,"FDR Drive, E 63 St. To E 81 St.",3.089,Waterfront Facility,FALSE
1997 Oct 09 12:00:00 AM,Manhattan,10040,"3703 HARLEM RIVER DRIVE, New York, NY",Sherman Creek,10 Ave. bet. Academy St. and the Harlem River,15.383000000000001,Neighborhood Park,FALSE
1902 Jul 10 12:00:00 AM,Manhattan,10021,"76-01 FDR DRIVE, New York, NY",John Jay Park,"FDR Dr., E 76 St. To E 78 St.",3.3119999999999994,Community Park,FALSE
1900 Sep 22 12:00:00 AM,Manhattan,"10027, 10031","675 RIVERSIDE DRIVE, New York, NY",Riverside Park,"Riverside Dr to Henry Hudson Pkwy, W 153 St",13.350000000000001,Neighborhood Park,FALSE
1846 Oct 19 12:00:00 AM,Manhattan,10001,"1 HERALD SQUARE, New York, NY",Herald Square,"Broadway, Ave of the Americas, bet. W. 34 St. and W. 35 St.",0.21000000000000002,Triangle/Plaza,FALSE
1909 Nov 29 12:00:00 AM,Manhattan,"10027, 10031","48 ST NICHOLAS AVENUE, New York, NY",St Nicholas Park,"St. Nicholas Ave., St. Nicholas Ter. bet. W. 128 St. and W. 141 St.",22.74,Neighborhood Park,FALSE
1948 Sep 21 12:00:00 AM,Manhattan,10017,"833 1 AVENUE, New York, NY",Dag Hammarskjold Plaza,E. 47 St. bet. 1 Ave. and 2 Ave.,1.59,Triangle/Plaza,FALSE
1943 Feb 11 12:00:00 AM,Manhattan,10065,"501 EAST 60 STREET, New York, NY",Twenty-Four Sycamores Park,"FDR Dr., E. 60 St. To E. 61 St. and York Ave.",0.622,Playground,FALSE
1956 Jan 12 12:00:00 AM,Manhattan,10035,"NA, New York, NY",Crack Is Wack Playground,"E. 127 St., 2 Ave., and Harlem River Drive",1.369,Playground,FALSE
1918 Feb 23 12:00:00 AM,Manhattan,10033,"NA, New York, NY",Plaza Lafayette,"Riverside Dr., W. 181 St. To Haven Ave.",0.092,Triangle/Plaza,FALSE
1947 Jan 16 12:00:00 AM,Manhattan,10037,"NA, New York, NY",Harlem River Park,"Lexington Ave., E. 130 St. to E. 131 St.",0.203,Triangle/Plaza,FALSE
1952 Jun 12 12:00:00 AM,Manhattan,10038,"NA, New York, NY",Playground One,Madison St. bet. Catherine St. and Oliver St.,0.44,Jointly Operated Playground,FALSE
NA,Manhattan,10013,"NA, New York, NY",Canal Park,Canal St. bet. West St. and Washington St.,0.6689999999999999,Neighborhood Park,FALSE
1828 Dec 23 12:00:00 AM,Manhattan,10003,"NA, New York, NY",Cooper Triangle,"3 Av To 4 Av, E 6 St To E 7 St",0.165,Triangle/Plaza,FALSE
1913 Jul 22 12:00:00 AM,Manhattan,10030,"NA, New York, NY",Dorrance Brooks Square,"W 136 St To W 137 St, St Nicholas Av, Edgecom Av",0.038,Triangle/Plaza,FALSE
1993 Aug 20 12:00:00 AM,Manhattan,10009,"706 EAST 5 STREET, New York, NY",El Jardin Del Paraiso Park,"E. 4 St. to E. 5 St., Ave. C, Ave. D",0.73,Garden,FALSE
1994 Mar 03 12:00:00 AM,Manhattan,10029,"500-501 E. 107 Street, New York, NY",Pier 107 CVII,FDR Dr. at E. 107 St.,0.356,Waterfront Facility,FALSE
1984 May 23 12:00:00 AM,Manhattan,10022,"NA, New York, NY",Tramway Plaza,Second Ave. bet. E. 59 St. to E. 60 St.,0.345,Triangle/Plaza,FALSE
1938 Jan 01 12:00:00 AM,Manhattan,10010,"384 ASSER LEVY PLACE, New York, NY",Asser Levy Playground,"E. 23 St. To E. 25 St., FDR Drive",2.4359999999999995,Community Park,FALSE
1890 Jun 04 12:00:00 AM,Manhattan,"10021, 10022, 10028, 10029, 10065, 10075, 10128","NA, New York, NY",Park Avenue Malls 59th-97th,E. 59 St. To E. 97 St. and Park Ave.,4.622999999999999,Mall,FALSE
1876 Jun 02 12:00:00 AM,Manhattan,"10023, 10024, 10025","NA, New York, NY",Riverside Park,"Riverside Dr. to Hudson River, W. 72 St.to St Clair Pl.",253.168,Community Park,FALSE
1972 Aug 02 12:00:00 AM,Manhattan,"10024, 10025","NA, New York, NY",Joan Of Arc Park,"Riverside Dr., W. 91 St. To W. 95 St.",1.578,Neighborhood Park,FALSE
1908 Apr 09 12:00:00 AM,Manhattan,"10023, 10024, 10025","NA, New York, NY",Broadway Malls 59th-110th,"Broadway, Columbus Circle To W 110 St",5.754,Mall,FALSE
2002 Nov 20 12:00:00 AM,Manhattan,10027,"2351 FRED DOUGLASS BLVD, New York, NY",CEP Community Garden,W. 126 St. and Frederick Douglass Blvd.,0.057,Garden,FALSE
1937 Jun 01 12:00:00 AM,Manhattan,10039,"2619 ADAM C POWELL BLVD, New York, NY",Frederick Johnson Playground,7 Ave. bet. W. 150 St. and W. 151 St.,2.445,Recreational Field/Courts,FALSE
1961 Sep 28 12:00:00 AM,Manhattan,10038,"51 ST JAMES PLACE, New York, NY",St. James Triangle,St James Pl. and Oliver St.,0.043000000000000003,Triangle/Plaza,FALSE
1960 Apr 28 12:00:00 AM,Manhattan,10023,"22484 WEST 70 STREET, New York, NY",Matthew P. Sapolin Playground,W. 70 St. bet. W. End Ave. and Amsterdam Ave.,0.9470000000000001,Jointly Operated Playground,FALSE
1956 Feb 23 12:00:00 AM,Manhattan,10039,"2930 FRED DOUGLASS BLVD, New York, NY",Holcombe Rucker Park,"W. 155 St., 8 Ave. To Harlem River Drive",3.05,Neighborhood Park,FALSE
1953 Oct 22 12:00:00 AM,Manhattan,10027,"2200 ADAM C POWELL BLVD, New York, NY",St. Nicholas Playground North,W/s 7 Ave. at W. 130 St.,0.6599999999999999,Playground,FALSE
1953 Oct 22 12:00:00 AM,Manhattan,10027,"2400 FRED DOUGLASS BLVD, New York, NY",St. Nicholas Playground South,W/s 7 Ave. bet. W. 127 St. and W. 129 St.,0.6699999999999999,Playground,FALSE
1945 Jan 04 12:00:00 AM,Manhattan,10027,"500 WEST 129 STREET, New York, NY",Sheltering Arms Playground,"W. 126 St. to W. 129 St., Amsterdam Ave. to Old Broadway",1.43,Community Park,FALSE
1938 Jan 01 12:00:00 AM,Manhattan,10014,"2 7 AVENUE, New York, NY",Tony Dapolito Recreation Center,"Carmine St. and Clarkson St., 7 Ave.",0.20800000000000002,Buildings/Institutions,FALSE
1893 Jul 17 12:00:00 AM,Manhattan,10002,"397 FDR DRIVE W LANE, New York, NY",Corlears Hook Park,"Jackson St, Cherry St, FDR Drive",4.3549999999999995,Neighborhood Park,FALSE
1896 Dec 21 12:00:00 AM,Manhattan,10027,"NA, New York, NY",Sakura Park,"Riverside Dr., Claremont Ave. To W. 122 St.",2.067,Neighborhood Park,FALSE
1917 Aug 01 12:00:00 AM,Manhattan,10032,"NA, New York, NY",Haven Avenue,Riverside Dr. bet. W 176 St. and W 178 St.,1.3800000000000001,Parkway,FALSE
2007 Aug 02 12:00:00 AM,Manhattan,"10022, 10065","555 EAST 60 STREET, New York, NY",Andrew Haswell Green Park,E. River bet. E. 59 St. and E. 63 St.,1.984,Neighborhood Park,FALSE
1935 Mar 13 12:00:00 AM,Manhattan,10128,"NA, New York, NY",Park,E. 93 St. and FDR Dr.,0.034,Triangle/Plaza,FALSE
NA,Manhattan,10022,"NA, New York, NY",Sutton Parks,"E. 53 St. to E. 54 St. at Sutton Pl.; Foot of E. 55 St., E. 56 St., E. 57 St.",0.8500000000000001,Triangle/Plaza,FALSE
1995 Oct 20 12:00:00 AM,Manhattan,10022,"NA, New York, NY",Sutton Place Park,E. River bet. E. 56 St. and E. 57 St.,0.268,Neighborhood Park,FALSE
1934 Nov 08 12:00:00 AM,Manhattan,10032,"NA, New York, NY",Bushman Steps,"Edgecombe Ave., W. 157 St.",0.08,Triangle/Plaza,FALSE
1934 May 09 12:00:00 AM,Manhattan,10003,"NA, New York, NY",Peretz Square,"E. 1 St., E. Houston St., 1 Ave. and Allen St.",0.192,Triangle/Plaza,FALSE
2002 Nov 20 12:00:00 AM,Manhattan,10009,"NA, New York, NY",Allied Productions/Le Petit Versailles,"E. 2 St., E. Houston St. bet. Ave. B and Ave. C",0.034,Garden,FALSE
1912 May 08 12:00:00 AM,Manhattan,10038,"NA, New York, NY",Peck Slip,Peck Slip bet. South St. and Front St.,0.187,Triangle/Plaza,FALSE
1934 Dec 13 12:00:00 AM,Manhattan,10039,"NA, New York, NY",Bill Bojangles Robinson Playground,"W. 150 St., W/s 7 Ave.",0.17200000000000001,Playground,FALSE
1911 Oct 19 12:00:00 AM,Manhattan,"10033, 10040","NA, New York, NY",Bennett Rest,"Henry Hudson Pkwy, Cabrini Blvd, at W186 St",3.567,Nature Area,FALSE
1942 Jun 08 12:00:00 AM,Manhattan,10035,"NA, New York, NY",Strip,E. 120 St. and Paladino Ave. (Service Rd To FDR Dr.),0.188,Strip,FALSE
1917 Aug 01 12:00:00 AM,Manhattan,10032,"NA, New York, NY",Strip,"E/s Riverside Dr, W 168 St To W 177 St",1.494,Strip,FALSE
